species_code,species_name,common_name
30010,Sebastolobus sp.,thornyhead unid.
30020,Sebastolobus alascanus,shortspine thornyhead
30025,Sebastolobus macrochir,broadfin thornyhead
30330,Sebastes melanops,black rockfish
30430,Sebastes proriger,redstripe rockfish
30470,Sebastes ruberrimus,yelloweye rockfish
30475,Sebastes babcocki,redbanded rockfish
30535,Sebastes variegatus,harlequin rockfish
30560,Sebastes zacentrus,sharpchin rockfish
30600,Sebastes reedi,yellowmouth rockfish
30030,Sebastolobus altivelis,longspine thornyhead
30040,Sebastes sp.,rockfish unid.
30100,Sebastes brevispinis,silvergray rockfish
30150,NA,dusky and dark rockfishes unid.
30152,Sebastes variabilis,dusky rockfish
30170,Sebastes crameri,darkblotched rockfish
30270,Sebastes helvomaculatus,rosethorn rockfish
