metric,fmp_area,OFL,ABC,Biomass,FOFL,FABC,pOFL,pchange
T5RFXq,GOA,5951,4463,31242.7,0.04,0.03,4435.92380952381,34.15
T610ptl,BSAI,81,61,NA,NA,NA,NA,NA
T65pct,BSAI,103,77,NA,NA,NA,101.542914111193,1.43
T65ptl,BSAI,66,50,NA,NA,NA,65.56749830956,0.66
T690ptl,BSAI,81,61,NA,NA,NA,NA,NA
T695pct,BSAI,440,330,NA,NA,NA,438.665281472453,0.3
T699ptl,BSAI,894,670,NA,NA,NA,894.225520154068,-0.03
T6maxsp,BSAI,949,712,NA,NA,NA,948.8770886182,0.01
T6mean,BSAI,270,202,NA,NA,NA,270.104097791823,-0.04
T6med,BSAI,133,100,NA,NA,NA,133.6759742031,-0.51
T610ptl,GOA,203,152,NA,NA,NA,NA,NA
T65pct,GOA,161,121,NA,NA,NA,161.395895743456,-0.25
T65ptl,GOA,169,127,NA,NA,NA,167.831,0.7
T690ptl,GOA,203,152,NA,NA,NA,NA,NA
T695pct,GOA,977,733,NA,NA,NA,976.564286074726,0.04
T699ptl,GOA,1997,1498,NA,NA,NA,1996.8076,0.01
T6maxsp,GOA,2129,1597,NA,NA,NA,2128.464,0.03
T6mean,GOA,570,428,NA,NA,NA,568.980090909091,0.18
T6med,GOA,401,301,NA,NA,NA,400.958,0.01
T6maxc,BSAI,689,517,NA,NA,NA,689.399,-0.06
T6maxc,GOA,1524,1143,NA,NA,NA,1524.3,-0.02
